Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Damage Description
1985,12,19,,,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,1,S,1,,,,,1,,,,
1986,7,24,,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,T,1,,,,,1,,,,
1986,8,21,5808,,Oku Volcanic Field,Africa-W,Cameroon,6.25,10.5,3011,Maar,3,G,1700,,300,,,1700,,300,,
1986,10,15,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,M,1,,,,,1,,,,
1986,11,15,,,Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,758,Stratovolcano,3,I,1,,,,,1,,,,
1987,1,25,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3,,,,15,,63,,,15,,1
1987,4,17,,,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,T,2,,7,,,2,,7,,
1988,5,9,,,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,3,"T,L",4,,,,,4,,,,
1988,7,6,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,T,1,,,,,1,,,,
1988,7,30,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,1,,,,,1,,,,
1988,12,25,,,Lonquimay,Chile-C,Chile,-38.379,-71.586,2832,Stratovolcano,3,T,1,,,,,1,,,,
1990,2,2,,,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,3,,,,,,,,,,,1
1990,2,10,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,"T,P",32,,,,,32,,,,
1990,3,26,,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,G,1,,,,,1,,,,
1990,4,18,,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,G,1,,,,,1,,,,
1990,5,29,,,Coropuna,Peru,Peru,-15.52,-72.65,6377,Stratovolcano,3,,,,,,,,,,,1
1990,7,19,,,Santa Maria,Guatemala,Guatemala,14.757,-91.552,3745,Stratovolcano,3,T,4,,,,,4,,,,
1990,10,19,,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,2,G,1,,,,,1,,,,
1991,6,3,,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1,P,43,,,,,43,,,,
1991,7,3,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2,,,,,,,,,,,1
1991,8,8,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,5,,,,,,,,,,,1
1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1,"T,P",1,,,,,1,,,,
1991,12,14,,,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,,,,,2.5,,,,,2.5,2
1992,1,21,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,M,2,,,,,2,,,,
1992,4,10,,,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,3,"T,I",11,,50,3,,11,,50,3,2
1992,5,11,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,P,6,,1,,,6,,1,,
1992,7,5,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2,T,1,,5,,,1,,5,,
1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,6,,,,,6,,,,
1992,9,17,,,Spurr,Alaska-SW,United States,61.299,-152.251,3374,Stratovolcano,4,I,1,,,2,,1,,,2,2
1992,,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,3,,,,,3,,,,
1993,1,14,,,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,2,T,9,,,,,9,,,,
1993,2,2,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,P,75,,,,,75,,,,
1993,3,12,,,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,1,T,2,,,,,2,,,,
1993,6,13,,,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,1,T,1,,5,,,1,,5,,
1993,6,23,,,Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483,Complex volcano,1,P,1,,,,,1,,,,
1993,6,26,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,4,,,,,4,,,,
1994,1,15,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,T,1,,,,,1,,,,
1994,2,3,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,P,6,,,,,6,,,,
1994,5,29,,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,1,G,1,,,,,1,,,,
1994,9,19,2229,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,3,T,4,,,86,,4,,,86,4
1994,11,3,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,3,m,31,,,,,31,,,,
1994,11,22,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,,60,,,,,60,,,,
1995,2,4,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,T,2,,,,,2,,,,
1995,2,11,,,Yakedake,Honshu-Japan,Japan,36.227,137.587,2455,Stratovolcano,1,T,4,,,,,4,,,,
1995,4,2,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2,,,,20,,10,,,20,,1
1995,4,7,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,3,M,1,,,,1,1,,,,1
1996,1,2,2392,,Karymsky,Kamchatka,Russia,54.049,159.443,1513,Stratovolcano,2,,,,,,,,,,,
1996,4,30,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,3,,5,,,,,5,,,,1
1996,8,10,,,Kanlaon,Philippines-C,Philippines,10.412,123.132,2435,Stratovolcano,2,T,3,,18,,,3,,18,,
1996,9,30,,,Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719,Caldera,3,,,,,,,,,,,1
1996,12,3,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,3,P,13,,29,,,13,,29,,
1997,1,14,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,,6,,,,,6,,,,
1997,4,17,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,P,3,,,,,3,,,,
1997,6,25,,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,P,22,1,,,,22,,,,
1997,8,1,,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,2,,,,,2,,,,
1997,9,2,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,2,,,,,2,,,,
1999,1,20,2880,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,,,,,,,,
1999,5,21,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,,,,,,,,,,,
1999,8,15,,,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,4,,,,,,,,,,,
1999,10,5,,,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,3,T,2,,,,,2,,,,
1999,10,16,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,T,1,,4,,,1,,4,,
2000,6,27,2340,5568,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,2,,,,,,,1,,,,1
2000,7,27,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,2,,,,,2,,,,
2000,8,23,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,P,2,,1,,,2,,1,,
2000,11,,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,A,1,,,,,1,,,,
2001,5,14,,,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,3,,1,,,,,1,,,,1
2001,7,26,,,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,,,,,,,,,,,1
2001,8,5,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,P,2,,,,,2,,,,
2001,10,20,,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,T,1,,,,,1,,,,
2002,1,3,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,M,,,,,,,,,,1
2002,1,17,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,,100,,400,,,100,,,,3
2002,8,28,,5659,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,3,,,,32,,,,,32,,2
2002,11,3,,,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562,Stratovolcano,4,I,,,,,,,,,,1
2002,,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,3,,,,,3,,,,
2003,7,12,2694,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,,,,,,,,
2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661,Stratovolcano,1,T,1,,,,,1,,,,
2004,6,8,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,2,T,2,,5,,,,,,,
2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,5,,,,,5,,,,
2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,1,,14,,,1,,14,,
2005,10,1,,,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2381,Stratovolcano,3,A,2,,,,,2,,,,
2006,5,20,2877,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,2,P,,,,,,,,,,
2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,,,,,1,,,,
2006,6,14,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,,2,,,,,2,,,,
2006,7,18,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,1,,,,,1,,,,
2006,8,17,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,T,5,,13,,,6,,,,3
2006,11,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1,m,1266,,,,,1266,,,,1
2007,3,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,M,4,,1,,,4,,1,,
2007,5,19,5758,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,1,"A,W",,,,,,,,,,1
2008,8,8,3587,,Kasatochi,Aleutian Is,United States,52.177,-175.508,314,Stratovolcano,3,,,,,,,,,,,
2008,8,22,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,M,2,,2,,2,2,,2,,1
2010,1,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,,,,,,,1
2010,3,31,,,Eyjafjallajokull,Iceland-S,Iceland,63.633,-19.633,1651,Stratovolcano,2,,2,,,,,2,,,,
2010,5,27,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,T,1,3,,,3,1,3,,,1
2010,8,6,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,,4,,5,,,4,,5,,
2010,11,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,,,,,,,1
2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,,,,,1,,,,
2011,4,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4,,,,,,,,,,,1
2011,6,4,,,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,4,,,,,,,,,,,2
2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,3,,31,,,,,31,,,,1
2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,m,4,,,,,4,,,,
2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,,5,,,,,5,,,,
2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,,,,,,,,,,,2
2014,9,27,,,Ontakesan,Honshu-Japan,Japan,35.893,137.48,3067,Complex volcano,3,,55,,70,,,55,,70,,
2015,7,31,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2,,,,2,,,,,2,,1
2017,4,13,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,P,,,,,,,,,,1
2017,6,6,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P,,,,,,,,,,2
2018,2,1,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,G,1,,3,,,1,,3,,
2018,3,30,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,3,"T,G,M",4,,,,,4,,,,2
2018,4,28,5678,10332,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,L,,,1,370,716,,,1,370,4
2018,6,3,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P,201,229,27,120,186,201,229,27,120,4
2018,8,25,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"L,T",,,,,164,,,,,3
2018,12,15,,10382,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2,"S,T,G",,,,,,,,,,2
2018,12,22,5699,,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,3,W,,,,,,437,10,31943,250,4
2018,12,26,,10383,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,2,S,,,,,,,,28,115,4
2019,1,7,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,,,,,,,,,,1
2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"A,P,T",,,,,,,,,,2
2019,7,3,,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,T",1,,1,,,1,,1,,
2019,8,28,5716,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,W,,,,,,,,,,
2019,12,9,,,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,2,T,22,,25,,,22,,25,,
